iso,vaccine,date,total_vaccinations
ARG,Sputnik V,3/20/2021,2007287
ARG,CanSino,3/21/2021,5
ARG,Oxford/AstraZeneca,3/21/2021,564428
ARG,Sinopharm/Beijing,3/21/2021,729705
ARG,Sputnik V,3/21/2021,2026550
ARG,Oxford/AstraZeneca,3/22/2021,565900
ARG,Sinopharm/Beijing,3/22/2021,747107
ARG,Sputnik V,3/22/2021,2090758
ARG,Oxford/AstraZeneca,3/23/2021,570590
ARG,Sinopharm/Beijing,3/23/2021,760667
ARG,Sputnik V,3/23/2021,2179016
ARG,Oxford/AstraZeneca,3/24/2021,571868
ARG,Sinopharm/Beijing,3/24/2021,763809
ARG,Sputnik V,3/24/2021,2212065
ARG,Oxford/AstraZeneca,3/25/2021,573224
ARG,Sinopharm/Beijing,3/25/2021,774714
ARG,Sputnik V,3/25/2021,2303023
ARG,Oxford/AstraZeneca,3/26/2021,575880
ARG,Sinopharm/Beijing,3/26/2021,783891
ARG,Sputnik V,3/26/2021,2384781
ARG,Moderna,3/27/2021,7
ARG,Oxford/AstraZeneca,3/27/2021,576774
ARG,Sinopharm/Beijing,3/27/2021,786199
ARG,Sputnik V,3/27/2021,2436687
ARG,Oxford/AstraZeneca,3/28/2021,577681
ARG,Pfizer/BioNTech,3/28/2021,23
ARG,Sinopharm/Beijing,3/28/2021,786674
ARG,Sputnik V,3/28/2021,2456138
ARG,Oxford/AstraZeneca,3/29/2021,581274
ARG,Pfizer/BioNTech,3/29/2021,24
ARG,Sinopharm/Beijing,3/29/2021,798180
ARG,Sputnik V,3/29/2021,2561260
ARG,Oxford/AstraZeneca,3/30/2021,584157
ARG,Pfizer/BioNTech,3/30/2021,25
ARG,Sinopharm/Beijing,3/30/2021,808680
ARG,Sputnik V,3/30/2021,2710948
ARG,Oxford/AstraZeneca,3/31/2021,604105
ARG,Sinopharm/Beijing,3/31/2021,820697
ARG,Sputnik V,3/31/2021,2853983
ARG,Oxford/AstraZeneca,4/1/2021,629682
ARG,Sinopharm/Beijing,4/1/2021,824460
ARG,Sputnik V,4/1/2021,2941811
ARG,Oxford/AstraZeneca,4/2/2021,642507
ARG,Sinopharm/Beijing,4/2/2021,826782
ARG,Sputnik V,4/2/2021,2994834
ARG,Oxford/AstraZeneca,4/3/2021,661150
ARG,Sinopharm/Beijing,4/3/2021,827873
ARG,Sputnik V,4/3/2021,3049582
ARG,Moderna,4/4/2021,8
ARG,Oxford/AstraZeneca,4/4/2021,675547
ARG,Sinopharm/Beijing,4/4/2021,829537
ARG,Sputnik V,4/4/2021,3082018
ARG,Oxford/AstraZeneca,4/5/2021,709389
ARG,Sinopharm/Beijing,4/5/2021,858671
ARG,Sputnik V,4/5/2021,3185080
ARG,Oxford/AstraZeneca,4/6/2021,735857
ARG,Sinopharm/Beijing,4/6/2021,933829
ARG,Sputnik V,4/6/2021,3277502
ARG,Oxford/AstraZeneca,4/7/2021,766097
ARG,Sinopharm/Beijing,4/7/2021,1052153
ARG,Sputnik V,4/7/2021,3367411
ARG,Oxford/AstraZeneca,4/8/2021,790195
ARG,Pfizer/BioNTech,4/8/2021,28
ARG,Sinopharm/Beijing,4/8/2021,1182467
ARG,Sputnik V,4/8/2021,3449007
ARG,Oxford/AstraZeneca,4/9/2021,808552
ARG,Sinopharm/Beijing,4/9/2021,1330063
ARG,Sputnik V,4/9/2021,3523497
ARG,Oxford/AstraZeneca,4/10/2021,813370
ARG,Sinopharm/Beijing,4/10/2021,1384056
ARG,Sputnik V,4/10/2021,3557644
ARG,Oxford/AstraZeneca,4/11/2021,814237
ARG,Sinopharm/Beijing,4/11/2021,1416913
ARG,Sputnik V,4/11/2021,3572239
ARG,Oxford/AstraZeneca,4/12/2021,824153
ARG,Sinopharm/Beijing,4/12/2021,1512277
ARG,Sputnik V,4/12/2021,3648808
ARG,Moderna,4/13/2021,9
ARG,Oxford/AstraZeneca,4/13/2021,832499
ARG,Sinopharm/Beijing,4/13/2021,1594775
ARG,Sputnik V,4/13/2021,3744077
ARG,Oxford/AstraZeneca,4/14/2021,838944
ARG,Pfizer/BioNTech,4/14/2021,29
ARG,Sinopharm/Beijing,4/14/2021,1662162
ARG,Sputnik V,4/14/2021,3841970
ARG,Oxford/AstraZeneca,4/15/2021,843144
ARG,Sinopharm/Beijing,4/15/2021,1713351
ARG,Sputnik V,4/15/2021,3937720
ARG,Oxford/AstraZeneca,4/16/2021,846429
ARG,Sinopharm/Beijing,4/16/2021,1759466
ARG,Sputnik V,4/16/2021,4012070
ARG,Oxford/AstraZeneca,4/17/2021,847323
ARG,Sinopharm/Beijing,4/17/2021,1775585
ARG,Sputnik V,4/17/2021,4040785
ARG,Oxford/AstraZeneca,4/18/2021,848598
ARG,Sinopharm/Beijing,4/18/2021,1777848
ARG,Sputnik V,4/18/2021,4057154
ARG,Oxford/AstraZeneca,4/19/2021,863998
ARG,Pfizer/BioNTech,4/19/2021,30
ARG,Sinopharm/Beijing,4/19/2021,1802815
ARG,Sputnik V,4/19/2021,4107297
ARG,Oxford/AstraZeneca,4/20/2021,916540
ARG,Sinopharm/Beijing,4/20/2021,1826858
ARG,Sputnik V,4/20/2021,4153474
ARG,CanSino,4/21/2021,6
ARG,Moderna,4/21/2021,10
ARG,Oxford/AstraZeneca,4/21/2021,1036835
ARG,Sinopharm/Beijing,4/21/2021,1848082
ARG,Sputnik V,4/21/2021,4185965
ARG,CanSino,4/22/2021,7
ARG,Oxford/AstraZeneca,4/22/2021,1154166
ARG,Sinopharm/Beijing,4/22/2021,1863649
ARG,Sputnik V,4/22/2021,4231309
ARG,Oxford/AstraZeneca,4/23/2021,1272508
ARG,Sinopharm/Beijing,4/23/2021,1877751
ARG,Sputnik V,4/23/2021,4293469
ARG,Oxford/AstraZeneca,4/24/2021,1326374
ARG,Sinopharm/Beijing,4/24/2021,1879323
ARG,Sputnik V,4/24/2021,4330274
ARG,Oxford/AstraZeneca,4/25/2021,1358834
ARG,Sinopharm/Beijing,4/25/2021,1879698
ARG,Sputnik V,4/25/2021,4346762
ARG,Oxford/AstraZeneca,4/26/2021,1431953
ARG,Pfizer/BioNTech,4/26/2021,31
ARG,Sinopharm/Beijing,4/26/2021,1887267
ARG,Sputnik V,4/26/2021,4438237
ARG,Oxford/AstraZeneca,4/27/2021,1491085
ARG,Pfizer/BioNTech,4/27/2021,32
ARG,Sinopharm/Beijing,4/27/2021,1894628
ARG,Sputnik V,4/27/2021,4525524
ARG,Oxford/AstraZeneca,4/28/2021,1543242
ARG,Pfizer/BioNTech,4/28/2021,33
ARG,Sinopharm/Beijing,4/28/2021,1922593
ARG,Sputnik V,4/28/2021,4604456
ARG,Oxford/AstraZeneca,4/29/2021,1582007
ARG,Sinopharm/Beijing,4/29/2021,1962729
ARG,Sputnik V,4/29/2021,4681906
ARG,Oxford/AstraZeneca,4/30/2021,1612565
ARG,Sinopharm/Beijing,4/30/2021,1998901
ARG,Sputnik V,4/30/2021,4730167
ARG,Oxford/AstraZeneca,5/1/2021,1617829
ARG,Sinopharm/Beijing,5/1/2021,2002614
ARG,Sputnik V,5/1/2021,4741503
ARG,Oxford/AstraZeneca,5/2/2021,1624422
ARG,Sinopharm/Beijing,5/2/2021,2016746
ARG,Sputnik V,5/2/2021,4760959
ARG,Oxford/AstraZeneca,5/3/2021,1648047
ARG,Pfizer/BioNTech,5/3/2021,34
ARG,Sinopharm/Beijing,5/3/2021,2090729
ARG,Sputnik V,5/3/2021,4838117
ARG,Oxford/AstraZeneca,5/4/2021,1671662
ARG,Sinopharm/Beijing,5/4/2021,2184840
ARG,Sputnik V,5/4/2021,4952492
ARG,Moderna,5/5/2021,11
ARG,Oxford/AstraZeneca,5/5/2021,1696588
ARG,Sinopharm/Beijing,5/5/2021,2263444
ARG,Sputnik V,5/5/2021,5094038
ARG,Oxford/AstraZeneca,5/6/2021,1714429
ARG,Pfizer/BioNTech,5/6/2021,35
